REGIONAL,ANO,MES,QUANTIDADE DE CHAMADOS,SLA DENTRO DO PRAZO,SLA FORA DO PRAZO,PORCENTAGEM SLA DENTRO DO PRAZO,PORCENTAGEM SLA FORA DO PRAZO
Guarulhos,2018,10,5178,4666,512,90.11,9.89
Guarulhos,2018,11,4888,4445,443,90.94,9.06
Guarulhos,2018,12,3681,3204,477,87.04,12.96
Guarulhos,2019,1,4217,3798,419,90.06,9.94
Guarulhos,2019,2,4268,3864,404,90.53,9.47
Guarulhos,2019,3,4402,3721,681,84.53,15.47
Guarulhos,2019,4,3681,3459,222,93.97,6.03
Guarulhos,2019,5,3475,3200,275,92.09,7.91
Guarulhos,2019,6,2909,2715,194,93.33,6.67
Guarulhos,2019,7,3338,2960,378,88.68,11.32
Guarulhos,2019,8,2867,2709,158,94.49,5.51
Guarulhos,2019,9,2972,2803,169,94.31,5.69
Guarulhos,2019,10,3429,3157,272,92.07,7.93
Guarulhos,2019,11,0,0,0,0.0,0.0
Guarulhos,2019,12,0,0,0,0.0,0.0
Hortolandia,2015,1,2,2,0,100.0,0.0
Hortolandia,2015,2,0,0,0,0.0,0.0
Hortolandia,2015,3,6,6,0,100.0,0.0
Hortolandia,2015,4,32,32,0,100.0,0.0
Hortolandia,2015,5,1889,1889,0,100.0,0.0
Hortolandia,2015,6,3356,3356,0,100.0,0.0
Hortolandia,2015,7,3083,3083,0,100.0,0.0
Hortolandia,2015,8,3147,3147,0,100.0,0.0
Hortolandia,2015,9,2991,2991,0,100.0,0.0
Hortolandia,2015,10,3561,3560,1,99.97,0.03
Hortolandia,2015,11,2826,2826,0,100.0,0.0
Hortolandia,2015,12,2537,2537,0,100.0,0.0
Hortolandia,2016,1,2479,2474,5,99.8,0.2
Hortolandia,2016,2,3053,3028,25,99.18,0.82
Hortolandia,2016,3,4106,3952,154,96.25,3.75
Hortolandia,2016,4,2698,2194,504,81.32,18.68
Hortolandia,2016,5,2532,1858,674,73.38,26.62
Hortolandia,2016,6,2756,1881,875,68.25,31.75
Hortolandia,2016,7,2115,1577,538,74.56,25.44
Hortolandia,2016,8,3196,2364,832,73.97,26.03
Hortolandia,2016,9,2932,2209,723,75.34,24.66
Hortolandia,2016,10,2918,2211,707,75.77,24.23
Hortolandia,2016,11,3521,2660,861,75.55,24.45
Hortolandia,2016,12,4680,3575,1105,76.39,23.61
Hortolandia,2017,1,4471,3655,816,81.75,18.25
Hortolandia,2017,2,4457,3234,1223,72.56,27.44
Hortolandia,2017,3,6578,5265,1313,80.04,19.96
Hortolandia,2017,4,4871,3439,1432,70.6,29.4
Hortolandia,2017,5,3985,3086,899,77.44,22.56
Hortolandia,2017,6,4147,3536,611,85.27,14.73
Hortolandia,2017,7,4139,3546,593,85.67,14.33
Hortolandia,2017,8,4498,4141,357,92.06,7.94
Hortolandia,2017,9,3908,3646,262,93.3,6.7
Hortolandia,2017,10,4139,3820,319,92.29,7.71
Hortolandia,2017,11,4341,4053,288,93.37,6.63
Hortolandia,2017,12,2938,2671,267,90.91,9.09
Hortolandia,2018,1,2073,1932,141,93.2,6.8
Hortolandia,2018,2,2115,2008,107,94.94,5.06
Hortolandia,2018,3,1917,1750,167,91.29,8.71
Hortolandia,2018,4,1818,1682,136,92.52,7.48
Hortolandia,2018,5,1168,980,188,83.9,16.1
Hortolandia,2018,6,1762,1658,104,94.1,5.9
Hortolandia,2018,7,2604,2378,226,91.32,8.68
Hortolandia,2018,8,2599,2380,219,91.57,8.43
Hortolandia,2018,9,2110,1955,155,92.65,7.35
Hortolandia,2018,10,2081,1944,137,93.42,6.58
Hortolandia,2018,11,1961,1810,151,92.3,7.7
Hortolandia,2018,12,1678,1547,131,92.19,7.81
Hortolandia,2019,1,1997,1860,137,93.14,6.86
Hortolandia,2019,2,2123,1974,149,92.98,7.02
Hortolandia,2019,3,1955,1805,150,92.33,7.67
Hortolandia,2019,4,2346,2189,157,93.31,6.69
Hortolandia,2019,5,2076,1961,115,94.46,5.54
Hortolandia,2019,6,2487,2379,108,95.66,4.34
Hortolandia,2019,7,2551,2476,75,97.06,2.94
Hortolandia,2019,8,2660,2535,125,95.3,4.7
Hortolandia,2019,9,2248,2186,62,97.24,2.76
Hortolandia,2019,10,2374,2302,72,96.97,3.03
Hortolandia,2019,11,0,0,0,0.0,0.0
Hortolandia,2019,12,0,0,0,0.0,0.0
Lapa,2015,1,79,78,1,98.73,1.27
Lapa,2015,2,161,160,1,99.38,0.62
Lapa,2015,3,272,272,0,100.0,0.0
Lapa,2015,4,1280,1278,2,99.84,0.16
Lapa,2015,5,2751,2600,151,94.51,5.49
Lapa,2015,6,4354,4047,307,92.95,7.05
Lapa,2015,7,4134,3948,186,95.5,4.5
Lapa,2015,8,3819,3737,82,97.85,2.15
Lapa,2015,9,4826,4250,576,88.06,11.94
Lapa,2015,10,3773,3654,119,96.85,3.15
Lapa,2015,11,3931,3636,295,92.5,7.5
Lapa,2015,12,4101,3865,236,94.25,5.75
Lapa,2016,1,3540,3392,148,95.82,4.18
Lapa,2016,2,3127,2830,297,90.5,9.5
Lapa,2016,3,5467,4461,1006,81.6,18.4
Lapa,2016,4,5345,3913,1432,73.21,26.79
Lapa,2016,5,4915,4106,809,83.54,16.46
Lapa,2016,6,4640,3952,688,85.17,14.83
Lapa,2016,7,5789,4160,1629,71.86,28.14
Lapa,2016,8,7563,5858,1705,77.46,22.54
Lapa,2016,9,6537,4953,1584,75.77,24.23
Lapa,2016,10,5533,3887,1646,70.25,29.75
Lapa,2016,11,4675,3991,684,85.37,14.63
Lapa,2016,12,4024,3341,683,83.03,16.97
Lapa,2017,1,5056,3909,1147,77.31,22.69
Lapa,2017,2,3978,3420,558,85.97,14.03
Lapa,2017,3,4943,4166,777,84.28,15.72
Lapa,2017,4,4013,3284,729,81.83,18.17
Lapa,2017,5,2294,1753,541,76.42,23.58
Lapa,2017,6,3194,2846,348,89.1,10.9
Lapa,2017,7,3182,2455,727,77.15,22.85
Lapa,2017,8,2784,2495,289,89.62,10.38
Lapa,2017,9,2487,2132,355,85.73,14.27
Lapa,2017,10,2573,2053,520,79.79,20.21
Lapa,2017,11,4193,3905,288,93.13,6.87
Lapa,2017,12,4125,3581,544,86.81,13.19
Lapa,2018,1,4463,3771,692,84.49,15.51
Lapa,2018,2,3738,3335,403,89.22,10.78
Lapa,2018,3,4144,3688,456,89.0,11.0
Lapa,2018,4,3593,3091,502,86.03,13.97
Lapa,2018,5,3402,3085,317,90.68,9.32
Lapa,2018,6,3263,3013,250,92.34,7.66
Lapa,2018,7,3778,3281,497,86.84,13.16
Lapa,2018,8,4078,3438,640,84.31,15.69
Lapa,2018,9,3592,3018,574,84.02,15.98
Lapa,2018,10,3470,2992,478,86.22,13.78
Lapa,2018,11,2885,2773,112,96.12,3.88
Lapa,2018,12,2433,2203,230,90.55,9.45
Lapa,2019,1,2839,2694,145,94.89,5.11
Lapa,2019,2,2800,2634,166,94.07,5.93
Lapa,2019,3,2605,2381,224,91.4,8.6
Lapa,2019,4,2403,2279,124,94.84,5.16
Lapa,2019,5,2247,2098,149,93.37,6.63
Lapa,2019,6,1721,1624,97,94.36,5.64
Lapa,2019,7,2390,2217,173,92.76,7.24
Lapa,2019,8,2003,1916,87,95.66,4.34
Lapa,2019,9,2153,2070,83,96.14,3.86
Lapa,2019,10,2085,1908,177,91.51,8.49
Lapa,2019,11,1,1,0,100.0,0.0
Lapa,2019,12,0,0,0,0.0,0.0
Manaus,2015,1,136,136,0,100.0,0.0
Manaus,2015,2,36,36,0,100.0,0.0
Manaus,2015,3,25,25,0,100.0,0.0
Manaus,2015,4,181,181,0,100.0,0.0
Manaus,2015,5,2150,2150,0,100.0,0.0
Manaus,2015,6,3043,3042,1,99.97,0.03
Manaus,2015,7,3446,3446,0,100.0,0.0
Manaus,2015,8,3242,3242,0,100.0,0.0
Manaus,2015,9,2958,2958,0,100.0,0.0
Manaus,2015,10,3082,3081,1,99.97,0.03
Manaus,2015,11,3235,3234,1,99.97,0.03
Manaus,2015,12,3409,3397,12,99.65,0.35
Manaus,2016,1,4076,3864,212,94.8,5.2
Manaus,2016,2,3311,3292,19,99.43,0.57
Manaus,2016,3,4748,4129,619,86.96,13.04
Manaus,2016,4,4518,3395,1123,75.14,24.86
Manaus,2016,5,4892,3802,1090,77.72,22.28
Manaus,2016,6,4288,3483,805,81.23,18.77
Manaus,2016,7,4977,3983,994,80.03,19.97
Manaus,2016,8,5462,4493,969,82.26,17.74
Manaus,2016,9,5608,4287,1321,76.44,23.56
Manaus,2016,10,6723,4551,2172,67.69,32.31
Manaus,2016,11,4861,3472,1389,71.43,28.57
Manaus,2016,12,3692,2583,1109,69.96,30.04
Manaus,2017,1,7443,5084,2359,68.31,31.69
Manaus,2017,2,3686,2954,732,80.14,19.86
Manaus,2017,3,7603,5244,2359,68.97,31.03
Manaus,2017,4,5332,3856,1476,72.32,27.68
Manaus,2017,5,5900,4586,1314,77.73,22.27
Manaus,2017,6,6256,5515,741,88.16,11.84
Manaus,2017,7,6084,5199,885,85.45,14.55
Manaus,2017,8,6860,5685,1175,82.87,17.13
Manaus,2017,9,4926,3922,1004,79.62,20.38
Manaus,2017,10,5384,4045,1339,75.13,24.87
Manaus,2017,11,4375,3664,711,83.75,16.25
Manaus,2017,12,4349,3740,609,86.0,14.0
Manaus,2018,1,5124,4259,865,83.12,16.88
Manaus,2018,2,4212,3522,690,83.62,16.38
Manaus,2018,3,4590,3704,886,80.7,19.3
Manaus,2018,4,3965,3114,851,78.54,21.46
Manaus,2018,5,3728,3119,609,83.66,16.34
Manaus,2018,6,3301,2720,581,82.4,17.6
Manaus,2018,7,3863,3200,663,82.84,17.16
Manaus,2018,8,4022,3354,668,83.39,16.61
Manaus,2018,9,3270,2819,451,86.21,13.79
Manaus,2018,10,4178,3573,605,85.52,14.48
Manaus,2018,11,3647,2999,648,82.23,17.77
Manaus,2018,12,3379,2738,641,81.03,18.97
Manaus,2019,1,3540,3010,530,85.03,14.97
Manaus,2019,2,3125,2600,525,83.2,16.8
Manaus,2019,3,3095,2480,615,80.13,19.87
Manaus,2019,4,3429,2803,626,81.74,18.26
Manaus,2019,5,2871,2190,681,76.28,23.72
Manaus,2019,6,2597,1997,600,76.9,23.1
Manaus,2019,7,3046,2282,764,74.92,25.08
Manaus,2019,8,2775,2154,621,77.62,22.38
Manaus,2019,9,2450,1911,539,78.0,22.0
Manaus,2019,10,2568,1961,607,76.36,23.64
Manaus,2019,11,1,1,0,100.0,0.0
Manaus,2019,12,0,0,0,0.0,0.0
Niteroi,2015,1,6,6,0,100.0,0.0
Niteroi,2015,2,3,3,0,100.0,0.0
Niteroi,2015,3,18,18,0,100.0,0.0
Niteroi,2015,4,144,144,0,100.0,0.0
Niteroi,2015,5,2462,2462,0,100.0,0.0
Niteroi,2015,6,3507,3507,0,100.0,0.0
Niteroi,2015,7,3410,3410,0,100.0,0.0
Niteroi,2015,8,3302,3302,0,100.0,0.0
Niteroi,2015,9,3768,3768,0,100.0,0.0
Niteroi,2015,10,3458,3458,0,100.0,0.0
Niteroi,2015,11,3408,3408,0,100.0,0.0
Niteroi,2015,12,3872,3859,13,99.66,0.34
Niteroi,2016,1,4962,4592,370,92.54,7.46
Niteroi,2016,2,3659,3603,56,98.47,1.53
Niteroi,2016,3,5355,4651,704,86.85,13.15
Niteroi,2016,4,5291,3058,2233,57.8,42.2
Niteroi,2016,5,4874,3655,1219,74.99,25.01
Niteroi,2016,6,4373,3298,1075,75.42,24.58
Niteroi,2016,7,4896,3744,1152,76.47,23.53
Niteroi,2016,8,6242,4966,1276,79.56,20.44
Niteroi,2016,9,5212,4263,949,81.79,18.21
Niteroi,2016,10,7829,4193,3636,53.56,46.44
Niteroi,2016,11,4135,2517,1618,60.87,39.13
Niteroi,2016,12,4048,3029,1019,74.83,25.17
Niteroi,2017,1,7971,4062,3909,50.96,49.04
Niteroi,2017,2,4019,3214,805,79.97,20.03
Niteroi,2017,3,7739,4511,3228,58.29,41.71
Niteroi,2017,4,5791,3780,2011,65.27,34.73
Niteroi,2017,5,6847,5548,1299,81.03,18.97
Niteroi,2017,6,7987,6380,1607,79.88,20.12
Niteroi,2017,7,7863,5785,2078,73.57,26.43
Niteroi,2017,8,8797,6876,1921,78.16,21.84
Niteroi,2017,9,7129,5796,1333,81.3,18.7
Niteroi,2017,10,7073,5900,1173,83.42,16.58
Niteroi,2017,11,5653,5162,491,91.31,8.69
Niteroi,2017,12,4984,4542,442,91.13,8.87
Niteroi,2018,1,6485,5410,1075,83.42,16.58
Niteroi,2018,2,6420,5190,1230,80.84,19.16
Niteroi,2018,3,5598,4956,642,88.53,11.47
Niteroi,2018,4,5189,4379,810,84.39,15.61
Niteroi,2018,5,6122,4494,1628,73.41,26.59
Niteroi,2018,6,4530,4092,438,90.33,9.67
Niteroi,2018,7,5037,4451,586,88.37,11.63
Niteroi,2018,8,4816,4199,617,87.19,12.81
Niteroi,2018,9,4704,4089,615,86.93,13.07
Niteroi,2018,10,6903,4876,2027,70.64,29.36
Niteroi,2018,11,5416,4690,726,86.6,13.4
Niteroi,2018,12,4706,3983,723,84.64,15.36
Niteroi,2019,1,4663,3930,733,84.28,15.72
Niteroi,2019,2,4765,4022,743,84.41,15.59
Niteroi,2019,3,4577,3801,776,83.05,16.95
Niteroi,2019,4,4237,3656,581,86.29,13.71
Niteroi,2019,5,4319,3603,716,83.42,16.58
Niteroi,2019,6,3639,2959,680,81.31,18.69
Niteroi,2019,7,4579,3557,1022,77.68,22.32
Niteroi,2019,8,3750,3212,538,85.65,14.35
Niteroi,2019,9,3913,3506,407,89.6,10.4
Niteroi,2019,10,3860,3473,387,89.97,10.03
Niteroi,2019,11,0,0,0,0.0,0.0
Niteroi,2019,12,0,0,0,0.0,0.0
Paissandu,2015,1,313,283,30,90.42,9.58
Paissandu,2015,2,251,237,14,94.42,5.58
Paissandu,2015,3,383,369,14,96.34,3.66
Paissandu,2015,4,1645,1604,41,97.51,2.49
Paissandu,2015,5,3255,2989,266,91.83,8.17
Paissandu,2015,6,5493,4932,561,89.79,10.21
Paissandu,2015,7,5183,4900,283,94.54,5.46
Paissandu,2015,8,4938,4793,145,97.06,2.94
Paissandu,2015,9,6333,5351,982,84.49,15.51
Paissandu,2015,10,5520,5311,209,96.21,3.79
Paissandu,2015,11,5623,5159,464,91.75,8.25
Paissandu,2015,12,5346,5001,345,93.55,6.45
Paissandu,2016,1,4508,4288,220,95.12,4.88
Paissandu,2016,2,4005,3612,393,90.19,9.81
Paissandu,2016,3,6688,5419,1269,81.03,18.97
Paissandu,2016,4,6416,5080,1336,79.18,20.82
Paissandu,2016,5,5702,5071,631,88.93,11.07
Paissandu,2016,6,7010,5981,1029,85.32,14.68
Paissandu,2016,7,7697,5382,2315,69.92,30.08
Paissandu,2016,8,9813,8006,1807,81.59,18.41
Paissandu,2016,9,8382,6578,1804,78.48,21.52
Paissandu,2016,10,7406,5367,2039,72.47,27.53
Paissandu,2016,11,6229,5562,667,89.29,10.71
Paissandu,2016,12,5897,5381,516,91.25,8.75
Paissandu,2017,1,8489,7171,1318,84.47,15.53
Paissandu,2017,2,6944,6503,441,93.65,6.35
Paissandu,2017,3,9256,7892,1364,85.26,14.74
Paissandu,2017,4,7092,5982,1110,84.35,15.65
Paissandu,2017,5,9093,8211,882,90.3,9.7
Paissandu,2017,6,10770,10116,654,93.93,6.07
Paissandu,2017,7,13101,10762,2339,82.15,17.85
Paissandu,2017,8,13297,12169,1128,91.52,8.48
Paissandu,2017,9,11769,10119,1650,85.98,14.02
Paissandu,2017,10,10859,9788,1071,90.14,9.86
Paissandu,2017,11,9358,8981,377,95.97,4.03
Paissandu,2017,12,7641,7130,511,93.31,6.69
Paissandu,2018,1,6850,6119,731,89.33,10.67
Paissandu,2018,2,5733,5075,658,88.52,11.48
Paissandu,2018,3,6727,5717,1010,84.99,15.01
Paissandu,2018,4,5999,4909,1090,81.83,18.17
Paissandu,2018,5,5209,4643,566,89.13,10.87
Paissandu,2018,6,4709,4352,357,92.42,7.58
Paissandu,2018,7,5989,5228,761,87.29,12.71
Paissandu,2018,8,5937,5096,841,85.83,14.17
Paissandu,2018,9,4891,4324,567,88.41,11.59
Paissandu,2018,10,6294,5540,754,88.02,11.98
Paissandu,2018,11,5079,4784,295,94.19,5.81
Paissandu,2018,12,3981,3567,414,89.6,10.4
Paissandu,2019,1,4438,4105,333,92.5,7.5
Paissandu,2019,2,4191,4019,172,95.9,4.1
Paissandu,2019,3,4091,3670,421,89.71,10.29
Paissandu,2019,4,3746,3582,164,95.62,4.38
Paissandu,2019,5,3647,3366,281,92.3,7.7
Paissandu,2019,6,2910,2780,130,95.53,4.47
Paissandu,2019,7,3548,3299,249,92.98,7.02
Paissandu,2019,8,3281,3176,105,96.8,3.2
Paissandu,2019,9,3110,3021,89,97.14,2.86
Paissandu,2019,10,3687,3438,249,93.25,6.75
Paissandu,2019,11,0,0,0,0.0,0.0
Paissandu,2019,12,0,0,0,0.0,0.0
Paissandu Comercial,2018,1,0,0,0,0.0,0.0
Paissandu Comercial,2018,2,0,0,0,0.0,0.0
Paissandu Comercial,2018,3,1,1,0,100.0,0.0
Paissandu Comercial,2018,4,0,0,0,0.0,0.0
Paissandu Comercial,2018,5,0,0,0,0.0,0.0
Paissandu Comercial,2018,6,1,0,1,0.0,100.0
Paissandu Comercial,2018,7,30,10,20,33.33,66.67
Paissandu Comercial,2018,8,71,10,61,14.08,85.92
Paissandu Comercial,2018,9,582,328,254,56.36,43.64
Paissandu Comercial,2018,10,8762,6092,2670,69.53,30.47
Paissandu Comercial,2018,11,8370,5949,2421,71.08,28.92
Paissandu Comercial,2018,12,6703,5045,1658,75.26,24.74
Paissandu Comercial,2019,1,7660,5714,1946,74.6,25.4
Paissandu Comercial,2019,2,7441,5859,1582,78.74,21.26
Paissandu Comercial,2019,3,7646,5877,1769,76.86,23.14
Paissandu Comercial,2019,4,7817,6284,1533,80.39,19.61
Paissandu Comercial,2019,5,7723,6583,1140,85.24,14.76
Paissandu Comercial,2019,6,6607,5527,1080,83.65,16.35
Paissandu Comercial,2019,7,7855,6545,1310,83.32,16.68
Paissandu Comercial,2019,8,7284,6497,787,89.2,10.8
Paissandu Comercial,2019,9,7387,6879,508,93.12,6.88
Paissandu Comercial,2019,10,7069,6723,346,95.11,4.89
Paissandu Comercial,2019,11,0,0,0,0.0,0.0
Paissandu Comercial,2019,12,0,0,0,0.0,0.0
Porto Alegre,2015,1,163,162,1,99.39,0.61
Porto Alegre,2015,2,174,174,0,100.0,0.0
Porto Alegre,2015,3,281,273,8,97.15,2.85
Porto Alegre,2015,4,1404,1394,10,99.29,0.71
Porto Alegre,2015,5,2935,2715,220,92.5,7.5
Porto Alegre,2015,6,4587,3933,654,85.74,14.26
Porto Alegre,2015,7,4126,3802,324,92.15,7.85
Porto Alegre,2015,8,3712,3494,218,94.13,5.87
Porto Alegre,2015,9,4942,3770,1172,76.28,23.72
Porto Alegre,2015,10,3910,3782,128,96.73,3.27
Porto Alegre,2015,11,4189,3733,456,89.11,10.89
Porto Alegre,2015,12,3597,3363,234,93.49,6.51
Porto Alegre,2016,1,4516,3288,1228,72.81,27.19
Porto Alegre,2016,2,3725,3345,380,89.8,10.2
Porto Alegre,2016,3,5557,4271,1286,76.86,23.14
Porto Alegre,2016,4,4800,3613,1187,75.27,24.73
Porto Alegre,2016,5,4439,3870,569,87.18,12.82
Porto Alegre,2016,6,4652,3994,658,85.86,14.14
Porto Alegre,2016,7,6415,4424,1991,68.96,31.04
Porto Alegre,2016,8,6459,4548,1911,70.41,29.59
Porto Alegre,2016,9,6724,4875,1849,72.5,27.5
Porto Alegre,2016,10,5914,4394,1520,74.3,25.7
Porto Alegre,2016,11,3487,2873,614,82.39,17.61
Porto Alegre,2016,12,3448,2891,557,83.85,16.15
Porto Alegre,2017,1,4890,3669,1221,75.03,24.97
Porto Alegre,2017,2,3791,3221,570,84.96,15.04
Porto Alegre,2017,3,5137,3998,1139,77.83,22.17
Porto Alegre,2017,4,4124,3299,825,80.0,20.0
Porto Alegre,2017,5,5059,4425,634,87.47,12.53
Porto Alegre,2017,6,5610,4950,660,88.24,11.76
Porto Alegre,2017,7,6083,4849,1234,79.71,20.29
Porto Alegre,2017,8,7857,5541,2316,70.52,29.48
Porto Alegre,2017,9,5828,4539,1289,77.88,22.12
Porto Alegre,2017,10,6417,5390,1027,84.0,16.0
Porto Alegre,2017,11,4803,4177,626,86.97,13.03
Porto Alegre,2017,12,4400,3671,729,83.43,16.57
Porto Alegre,2018,1,4996,4184,812,83.75,16.25
Porto Alegre,2018,2,3732,3142,590,84.19,15.81
Porto Alegre,2018,3,4216,3613,603,85.7,14.3
Porto Alegre,2018,4,3966,3332,634,84.01,15.99
Porto Alegre,2018,5,3572,2984,588,83.54,16.46
Porto Alegre,2018,6,3760,3032,728,80.64,19.36
Porto Alegre,2018,7,4109,3266,843,79.48,20.52
Porto Alegre,2018,8,3954,3431,523,86.77,13.23
Porto Alegre,2018,9,3248,2712,536,83.5,16.5
Porto Alegre,2018,10,4310,3560,750,82.6,17.4
Porto Alegre,2018,11,4011,3398,613,84.72,15.28
Porto Alegre,2018,12,3521,2586,935,73.45,26.55
Porto Alegre,2019,1,3448,2958,490,85.79,14.21
Porto Alegre,2019,2,3122,2637,485,84.47,15.53
Porto Alegre,2019,3,3135,2415,720,77.03,22.97
Porto Alegre,2019,4,3511,2577,934,73.4,26.6
Porto Alegre,2019,5,3635,2639,996,72.6,27.4
Porto Alegre,2019,6,3117,2373,744,76.13,23.87
Porto Alegre,2019,7,3682,2690,992,73.06,26.94
Porto Alegre,2019,8,3070,2501,569,81.47,18.53
Porto Alegre,2019,9,2976,2472,504,83.06,16.94
Porto Alegre,2019,10,3072,2488,584,80.99,19.01
Porto Alegre,2019,11,0,0,0,0.0,0.0
Porto Alegre,2019,12,0,0,0,0.0,0.0
Recife,2015,1,72,72,0,100.0,0.0
Recife,2015,2,6,6,0,100.0,0.0
Recife,2015,3,7,7,0,100.0,0.0
Recife,2015,4,165,165,0,100.0,0.0
Recife,2015,5,3299,3299,0,100.0,0.0
Recife,2015,6,3816,3816,0,100.0,0.0
Recife,2015,7,5000,5000,0,100.0,0.0
Recife,2015,8,5048,5048,0,100.0,0.0
Recife,2015,9,4225,4225,0,100.0,0.0
Recife,2015,10,3841,3840,1,99.97,0.03
Recife,2015,11,4235,4235,0,100.0,0.0
Recife,2015,12,4710,4578,132,97.2,2.8
Recife,2016,1,4289,4119,170,96.04,3.96
Recife,2016,2,3919,3612,307,92.17,7.83
Recife,2016,3,5656,5432,224,96.04,3.96
Recife,2016,4,5746,4908,838,85.42,14.58
Recife,2016,5,6001,5265,736,87.74,12.26
Recife,2016,6,5428,4759,669,87.68,12.32
Recife,2016,7,5674,4825,849,85.04,14.96
Recife,2016,8,6938,6076,862,87.58,12.42
Recife,2016,9,7545,6731,814,89.21,10.79
Recife,2016,10,7434,5058,2376,68.04,31.96
Recife,2016,11,5484,3446,2038,62.84,37.16
Recife,2016,12,4175,3466,709,83.02,16.98
Recife,2017,1,8033,4917,3116,61.21,38.79
Recife,2017,2,4161,3637,524,87.41,12.59
Recife,2017,3,8064,4921,3143,61.02,38.98
Recife,2017,4,5609,3931,1678,70.08,29.92
Recife,2017,5,6453,4719,1734,73.13,26.87
Recife,2017,6,7871,5919,1952,75.2,24.8
Recife,2017,7,7809,6448,1361,82.57,17.43
Recife,2017,8,9260,7791,1469,84.14,15.86
Recife,2017,9,6896,6585,311,95.49,4.51
Recife,2017,10,8251,7308,943,88.57,11.43
Recife,2017,11,8854,8117,737,91.68,8.32
Recife,2017,12,7345,6256,1089,85.17,14.83
Recife,2018,1,8844,8067,777,91.21,8.79
Recife,2018,2,8010,5543,2467,69.2,30.8
Recife,2018,3,7155,6228,927,87.04,12.96
Recife,2018,4,6013,5306,707,88.24,11.76
Recife,2018,5,5770,5169,601,89.58,10.42
Recife,2018,6,5548,5170,378,93.19,6.81
Recife,2018,7,6015,5595,420,93.02,6.98
Recife,2018,8,5840,5328,512,91.23,8.77
Recife,2018,9,5202,4872,330,93.66,6.34
Recife,2018,10,5747,5256,491,91.46,8.54
Recife,2018,11,4874,4360,514,89.45,10.55
Recife,2018,12,5595,4513,1082,80.66,19.34
Recife,2019,1,5433,4772,661,87.83,12.17
Recife,2019,2,5040,4428,612,87.86,12.14
Recife,2019,3,4615,3933,682,85.22,14.78
Recife,2019,4,5076,4674,402,92.08,7.92
Recife,2019,5,4604,4249,355,92.29,7.71
Recife,2019,6,3939,3541,398,89.9,10.1
Recife,2019,7,4871,4209,662,86.41,13.59
Recife,2019,8,4350,3899,451,89.63,10.37
Recife,2019,9,4045,3623,422,89.57,10.43
Recife,2019,10,4125,3749,376,90.88,9.12
Recife,2019,11,0,0,0,0.0,0.0
Recife,2019,12,0,0,0,0.0,0.0
Ribeirão Preto,2015,1,843,836,7,99.17,0.83
Ribeirão Preto,2015,2,325,324,1,99.69,0.31
Ribeirão Preto,2015,3,264,262,2,99.24,0.76
Ribeirão Preto,2015,4,1240,1230,10,99.19,0.81
Ribeirão Preto,2015,5,2522,2236,286,88.66,11.34
